id,order_date,ship_mode,customer_id,sales
110611,10/6/2014,Standard,682,83.92
110639,8/23/2014,Same Day,866,71.84
110786,12/29/2014,Standard,133,1365.63
110849,4/18/2014,Standard,50,323.458
111003,6/1/2014,Standard,39,334.68
111059,2/3/2014,Second,210,97.112
111150,12/31/2014,Standard,208,77.21
111157,3/2/2014,Standard,853,154.624
111192,7/30/2014,Standard,586,1367.84
111360,11/24/2014,Standard,891,5.742
111451,12/26/2014,First,286,855.272
111500,8/17/2014,Standard,741,484.79
111773,6/29/2014,Standard,874,13.92
111857,4/23/2014,Second,42,48.91
111871,3/18/2014,Second,797,1198.33
111899,5/4/2014,First,607,43.312
111934,5/5/2014,First,292,47.32
111962,9/29/2014,Standard,144,817.798
112158,12/2/2014,First,756,1050.6
112291,4/3/2014,Standard,166,233.45
112326,1/4/2014,Standard,572,288.06
112403,3/31/2014,Same Day,297,0.852
112718,12/16/2014,Standard,690,1.167
112837,9/11/2014,Standard,387,127.95
112851,9/17/2014,Standard,673,182.94
113047,10/24/2014,Same Day,836,11.85
113166,12/24/2014,First,688,9.568
113257,12/16/2014,Second,619,328.592
113271,7/9/2014,Standard,106,172.097
113320,12/12/2014,Second,543,30.72
113362,9/14/2014,Standard,751,460.22
113383,9/10/2014,First,795,336.82
113579,12/13/2014,Second,81,90.24
113768,5/13/2014,Standard,743,287.456
113859,9/13/2014,Standard,624,340.116
113880,3/1/2014,Standard,538,651.588
113887,4/5/2014,First,70,55.48
113929,6/16/2014,Standard,630,115.952
113964,9/23/2014,Standard,414,18.464
114125,7/9/2014,Standard,398,68.704
114181,5/10/2014,Second,571,372.285
114195,11/1/2014,First,844,94.264
114251,11/5/2014,Standard,201,1476.834
114314,10/11/2014,Standard,140,16.23
114321,8/20/2014,Standard,20,1417.35
114335,9/28/2014,Standard,760,337.088
114433,5/13/2014,Standard,71,149.97
114510,3/14/2014,Standard,781,280.276
114517,12/23/2014,Standard,578,109.836
114643,6/13/2014,Standard,279,14.52
114790,3/11/2014,Second,117,782.63
115049,9/26/2014,Standard,948,153.824
115056,5/2/2014,Same Day,491,26.136
115084,10/18/2014,Standard,864,605.34
115133,9/26/2014,Standard,112,52.752
115161,1/31/2014,First,57,290.666
115259,8/25/2014,Second,904,199.256
115336,11/18/2014,Standard,823,14.48
115357,8/6/2014,Second,392,62.91
115791,1/16/2014,Second,249,299.964
115812,6/9/2014,Standard,10,3714.304
115889,11/2/2014,Standard,257,409.304
115973,11/24/2014,First,253,2.624
115980,7/15/2014,Standard,288,9.51
116190,7/26/2014,Standard,835,256.48
116239,3/4/2014,Same Day,393,354.9
116246,9/12/2014,Second,757,3785.292
116407,11/15/2014,Standard,177,362.176
116568,12/14/2014,Standard,385,186.304
116666,5/8/2014,First,689,1799.97
116673,12/15/2014,Second,441,6.16
116757,6/30/2014,Standard,131,47.232
116785,4/26/2014,Standard,473,34
116834,10/11/2014,Standard,191,408.47
116904,9/23/2014,Standard,723,9900.19
116932,7/21/2014,Standard,215,1173.616
117016,3/4/2014,Standard,274,15.552
117317,10/19/2014,Same Day,835,13.44
117345,8/1/2014,Standard,900,202.896
117429,10/7/2014,Standard,140,129.92
117464,7/22/2014,Second,939,1136.092
117478,9/21/2014,First,374,6.57
117639,5/21/2014,Standard,79,3333.9
117709,5/4/2014,Standard,396,46.8
117765,9/7/2014,Standard,199,643.78
118192,1/13/2014,Standard,592,40.846
118276,12/29/2014,Standard,223,8.736
118304,4/29/2014,Standard,783,19.98
118339,3/17/2014,Standard,432,249.92
118962,8/5/2014,Standard,819,472.044
118976,4/28/2014,Standard,968,526.96
119032,11/27/2014,Standard,410,3.76
119144,11/16/2014,First,141,730.8525
119151,11/25/2014,Second,589,1393.872
119172,5/11/2014,Standard,816,122.052
119375,11/17/2014,Standard,853,3116.49
119466,12/15/2014,Standard,155,8.544
119529,11/3/2014,Second,502,5.76
119977,10/8/2014,Second,166,123.92
120096,7/4/2014,First,128,209.968
120243,12/27/2014,Second,953,11.56
120278,11/7/2014,Standard,299,317.48
120411,9/20/2014,First,757,504.55
120432,8/24/2014,Second,424,25.5
120474,12/1/2014,First,150,2854.48
120544,11/23/2014,Standard,445,46.088
120670,11/2/2014,Standard,995,799.92
120768,12/19/2014,Second,478,1979.89
120775,10/3/2014,Standard,47,57.908
120838,3/23/2014,Second,441,935.152
120852,12/20/2014,Standard,899,84.872
120887,9/27/2014,Standard,414,87.54
120950,11/6/2014,Standard,994,43.68
121006,11/10/2014,Standard,137,1194.87
121167,11/28/2014,Second,224,17.248
121286,11/4/2014,Second,270,66.616
121573,11/3/2014,Standard,535,840.712
121629,11/28/2014,Standard,564,998.85
121664,5/6/2014,Standard,234,140.736
121727,8/19/2014,Standard,751,10.72
121762,2/14/2014,Standard,646,560.55
121769,4/8/2014,Standard,89,172.11
122070,4/22/2014,Second,524,257.752
122217,11/24/2014,Standard,988,111.15
122336,4/13/2014,Second,755,630.746
122567,2/16/2014,Standard,692,9.04
122588,11/25/2014,Second,699,52.96
122609,11/12/2014,Standard,719,153.112
122679,7/22/2014,Standard,622,19.68
122749,12/3/2014,Standard,734,479.96
122882,9/7/2014,Standard,965,539.074
122931,9/29/2014,Standard,12,2358.672
123064,6/30/2014,First,854,5.248
123127,9/8/2014,Standard,463,16.78
123225,7/11/2014,First,778,586.336
123253,8/22/2014,Second,169,3.912
123260,8/26/2014,Standard,528,176.8
123295,7/18/2014,Same Day,683,259.136
123316,10/13/2014,Standard,672,7.752
123323,11/7/2014,Standard,128,123.144
123344,9/24/2014,Standard,241,211.96
123400,2/2/2014,Standard,784,199.296
123477,1/18/2014,Second,931,64.864
123498,11/7/2014,First,425,100.398
123855,6/18/2014,Standard,582,139.8
123925,12/17/2014,Second,580,40.05
124023,4/7/2014,First,872,8.96
124079,12/13/2014,Standard,304,93.174
124247,12/16/2014,Standard,775,1403.92
124394,10/17/2014,Second,79,130.756
124429,5/27/2014,Same Day,234,926.44
124464,7/14/2014,Standard,724,39.48
124478,8/8/2014,Standard,609,1109.725
124513,9/21/2014,Standard,766,66.03
124618,5/2/2014,Second,31,479.984
124646,6/22/2014,First,738,663.75
124688,8/27/2014,First,706,1812.01
124702,11/18/2014,Standard,200,867.74
124709,7/27/2014,Second,249,238
124723,8/5/2014,Standard,69,489.23
124730,11/26/2014,Same Day,332,414.63
124737,8/23/2014,Standard,365,424.376
124807,7/12/2014,Second,446,59.696
124856,9/29/2014,Second,93,1609.32
125136,9/28/2014,Standard,299,106.944
125150,5/16/2014,Standard,806,232.88
125171,9/3/2014,Same Day,146,14.4
125514,9/21/2014,First,360,68.71
125542,12/5/2014,First,434,521.224
125556,11/14/2014,Second,809,876.73
125612,8/3/2014,Standard,782,163.62
125682,11/22/2014,First,324,9.96
125731,9/10/2014,Standard,900,1508.768
125759,2/8/2014,First,891,14.56
125829,11/4/2014,Standard,577,1729.416
125997,9/20/2014,First,608,3519.37
126032,6/23/2014,Standard,61,86.376
126193,9/7/2014,Standard,777,321.978
126200,8/25/2014,Standard,465,38.064
126277,9/13/2014,Second,843,2.502
126333,12/23/2014,Standard,35,5.184
126361,8/4/2014,Second,963,2126.034
126403,9/9/2014,Second,410,2304.37
126480,9/20/2014,Standard,969,8.56
126522,9/1/2014,Second,870,53.94
126683,9/29/2014,Second,252,2354.98
126760,7/26/2014,Standard,441,1891.316
126802,12/29/2014,Standard,183,38.976
126907,11/1/2014,Standard,776,15.696
126963,6/15/2014,Same Day,814,36.544
127012,8/11/2014,Standard,854,76.28
127131,11/24/2014,Standard,757,721.476
127159,5/12/2014,First,395,34.79
127166,5/21/2014,Second,905,186.908
127187,12/4/2014,Standard,64,129.98
127299,9/19/2014,Standard,448,2692.329
127383,12/31/2014,Standard,160,49.568
127446,11/25/2014,Standard,70,1273.623
127488,9/22/2014,Second,225,4.608
127523,5/11/2014,Standard,415,35.91
127558,11/15/2014,First,650,803.04
127586,9/26/2014,Standard,245,310.12
127614,2/11/2014,Standard,141,1508.13
127691,7/22/2014,Standard,237,165.94
127859,3/17/2014,Second,189,126.624
127866,7/20/2014,First,153,602.43
127936,9/2/2014,First,59,21.24
127964,3/3/2014,Standard,871,161.07
128055,3/31/2014,Standard,964,726.548
128062,11/19/2014,Second,737,5.88
128146,6/21/2014,Standard,59,1326.69
128209,11/17/2014,Standard,732,6160.616
128237,3/25/2014,Standard,830,92.36
128524,11/11/2014,First,25,2158.694
128538,10/11/2014,Standard,847,7.64
128622,11/15/2014,Second,515,10.95
128839,9/8/2014,Standard,981,254.97
128846,4/7/2014,Standard,522,752.92
128888,11/15/2014,Standard,152,604.656
128986,8/3/2014,Second,363,93.024
129091,11/22/2014,Standard,760,1022.61
129147,11/2/2014,Standard,71,609.438
129168,8/17/2014,Standard,648,15.552
129189,7/21/2014,Standard,166,751.886
129364,12/8/2014,Standard,822,265.784
129574,5/26/2014,First,238,48.4
129819,12/13/2014,Second,275,12.39
129924,7/12/2014,Standard,54,706.064
129938,12/15/2014,Second,420,445.802
130092,1/11/2014,First,554,9.94
130155,5/19/2014,First,175,34.2
130274,5/3/2014,First,737,21.56
130421,3/3/2014,Standard,720,176.772
130428,3/31/2014,Same Day,92,1142.165
130449,9/6/2014,First,952,100.36
130575,12/14/2014,First,635,9.264
130624,6/21/2014,First,217,697.32
130673,5/20/2014,Second,746,108.444
130729,10/24/2014,Standard,896,34.272
130813,1/6/2014,Second,278,19.44
130869,11/17/2014,Standard,336,7.08
130918,8/22/2014,Second,111,7.632
130960,12/30/2014,Standard,721,9.84
131002,9/7/2014,Second,276,1040.19
131009,3/1/2014,Standard,70,574.194
131051,12/1/2014,Standard,900,58.2
131247,3/30/2014,Standard,781,205.666
131310,7/12/2014,Standard,457,134.4
131387,4/28/2014,First,660,1679.96
131450,8/8/2014,Standard,857,2049.816
131527,12/1/2014,Standard,175,95.968
131541,7/28/2014,Same Day,711,193.152
131800,12/30/2014,Standard,820,158.388
131905,2/6/2014,First,591,321.56
131926,6/1/2014,Second,785,3745.63
131947,9/17/2014,Standard,712,318.293
132010,10/13/2014,First,558,389.74
132227,11/4/2014,Standard,840,52.064
132451,9/26/2014,First,845,604.992
132500,9/8/2014,Standard,664,49.98
132542,10/6/2014,Second,132,15.36
132612,6/9/2014,Second,163,1441.3
132787,9/19/2014,Standard,110,92.52
132801,10/7/2014,Standard,479,107.44
132864,12/2/2014,Standard,624,119.8
132913,12/24/2014,First,24,13.97
132962,9/13/2014,First,63,267.552
132983,4/28/2014,Standard,120,159.98
133158,8/19/2014,Second,722,358.696
133228,4/4/2014,Standard,621,84.83
133270,6/6/2014,First,365,13.36
133305,7/11/2014,Standard,627,67.4
133354,2/22/2014,First,252,19.44
133389,6/22/2014,Same Day,684,8.226
133424,3/30/2014,Standard,990,60.24
133543,12/22/2014,Standard,498,11.76
133592,12/31/2014,Standard,958,2846.22
133634,11/5/2014,Standard,409,47.79
133690,8/3/2014,First,173,221.35
133704,9/20/2014,Standard,331,64.152
133753,6/9/2014,Second,254,142.344
133809,11/18/2014,Second,337,21.396
133830,12/5/2014,Standard,667,90.58
133851,6/9/2014,Standard,312,30.46
133963,5/18/2014,Second,368,3.984
134061,4/29/2014,Standard,685,17.46
134103,1/30/2014,Standard,311,240.5
134215,8/4/2014,Standard,457,617.12
134278,7/6/2014,First,310,559.992
134313,11/1/2014,Standard,7,2027.144
134551,12/20/2014,Standard,803,732.312
134572,4/20/2014,Second,457,1190.53
134621,12/21/2014,Standard,248,18.24
134677,10/6/2014,Standard,809,9.09
134726,11/2/2014,Second,439,94.732
135090,11/22/2014,Standard,41,53.82
135405,1/9/2014,Standard,24,40.544
135608,12/8/2014,Second,147,649.6
135657,6/3/2014,Second,479,515.88
135699,8/29/2014,Same Day,481,123.28
135755,5/3/2014,Standard,849,51.072
135993,5/28/2014,Standard,971,85.008
136280,11/29/2014,Standard,31,5.04
136336,4/21/2014,Standard,928,828.84
136399,12/16/2014,First,360,1308.196
136567,12/20/2014,First,951,2884.37
136644,6/16/2014,Standard,919,647.84
136742,4/6/2014,Standard,381,44.91
136861,9/5/2014,First,222,31.984
137092,10/20/2014,Second,622,862.202
137274,3/29/2014,Standard,204,890.841
137351,9/30/2014,Standard,42,43.176
137575,8/6/2014,Standard,56,199.98
137589,11/3/2014,Standard,278,286.344
137911,10/9/2014,Standard,631,88.768
138023,8/15/2014,First,74,30.96
138072,12/30/2014,Standard,987,27.968
138100,9/15/2014,Standard,957,29.5
138128,12/9/2014,Standard,741,1110.648
138177,9/19/2014,Standard,808,73.915
138198,7/18/2014,Standard,42,13.904
138240,10/9/2014,Standard,595,160.592
138296,12/5/2014,Standard,115,24.56
138317,6/21/2014,Standard,279,385.261
138359,4/1/2014,Standard,136,73.2
138436,3/26/2014,Standard,709,66.3
138450,10/18/2014,Standard,151,249.472
138513,5/23/2014,Standard,297,12.96
138527,9/12/2014,Standard,95,192.424
138681,12/20/2014,First,216,596.664
138709,7/4/2014,Standard,754,37.44
138737,12/7/2014,First,903,8.64
138940,4/11/2014,Second,443,758.352
139017,5/11/2014,Standard,215,46.864
139192,5/27/2014,Second,107,1213.494
139283,11/23/2014,Standard,934,14.67
139423,11/1/2014,Standard,209,76.12
139451,10/12/2014,Standard,879,36.29
139542,10/25/2014,Standard,397,54.474
139598,12/26/2014,Standard,930,361.608
139633,12/17/2014,Standard,818,5.484
139857,2/2/2014,Standard,229,12.35
139892,9/8/2014,Standard,408,10539.896
140004,3/21/2014,Standard,144,13.456
140032,9/8/2014,Standard,110,8.608
140039,9/13/2014,Standard,547,79.4
140165,5/13/2014,First,198,405.456
140228,4/28/2014,Standard,144,211.576
140396,11/20/2014,Standard,219,907.56
140403,10/10/2014,Same Day,739,137.632
140473,5/30/2014,Standard,913,719.976
140487,6/14/2014,Standard,293,212.94
140662,11/17/2014,First,593,1075.37
140732,11/11/2014,Second,568,707.628
140795,2/1/2014,First,635,468.9
140816,12/20/2014,Same Day,302,447.944
140858,6/28/2014,Standard,751,1639.711
140886,9/30/2014,Standard,587,69.216
141005,8/15/2014,First,544,62.94
141110,11/26/2014,Standard,756,67.112
141152,9/16/2014,First,812,33.552
141173,11/18/2014,Second,603,67.15
141278,6/21/2014,First,308,21.4
141299,6/3/2014,Second,295,15.28
141313,12/28/2014,Standard,951,2583.19
141355,9/25/2014,Standard,699,14.576
141607,12/12/2014,Standard,612,43.31
141649,9/30/2014,Same Day,60,795.408
141726,7/20/2014,First,342,176.494
141796,6/21/2014,Same Day,749,1214.85
141817,1/5/2014,Standard,914,19.536
141838,3/26/2014,Second,471,60.08
141901,8/9/2014,Standard,214,5.98
142048,6/22/2014,First,950,196.752
142314,12/23/2014,Standard,393,207.24
142510,12/22/2014,Standard,566,274.096
142587,10/21/2014,First,570,531.382
142727,4/29/2014,Second,238,69.9
142769,9/13/2014,Same Day,72,561.73
142839,8/16/2014,Standard,406,853.092
142951,10/8/2014,Same Day,326,23.472
142965,7/20/2014,Same Day,559,53.344
142979,4/12/2014,Standard,364,39.68
143168,10/18/2014,Second,137,63.304
143182,10/15/2014,Standard,80,15.384
143210,12/1/2014,First,993,327.56
143336,8/27/2014,Second,722,244.76
143371,12/28/2014,Standard,325,1049.97
143385,8/31/2014,Standard,437,92.52
143413,5/24/2014,Standard,466,116.28
143637,3/24/2014,Second,373,40.48
143840,5/22/2014,Standard,584,180.93
143903,7/20/2014,Standard,592,1340.976
143917,7/25/2014,Second,328,8319.29
144029,5/26/2014,Standard,390,475.788
144071,12/8/2014,Standard,240,119.32
144281,6/10/2014,Second,168,491.55
144407,9/9/2014,Standard,267,103.6
144414,6/17/2014,Standard,867,3290.516
144624,11/19/2014,Standard,941,4548.81
144666,11/9/2014,Second,449,1517.574
144974,9/26/2014,Standard,766,68.53
145212,9/13/2014,Standard,43,5.46
145254,7/23/2014,Standard,913,992.828
145317,3/18/2014,Standard,292,23661.228
145387,10/31/2014,Second,589,2116.506
145541,12/14/2014,Standard,420,6999.96
145576,9/14/2014,Second,549,26.128
145800,5/30/2014,Standard,209,355.455
145926,11/17/2014,Standard,302,479.9
146283,9/8/2014,Standard,556,1166.716
146500,8/30/2014,Standard,110,121.24
146528,7/25/2014,Second,948,22
146591,1/19/2014,First,885,378.594
146640,6/30/2014,Standard,794,334.768
146703,10/20/2014,Second,338,211.96
146731,11/3/2014,Standard,133,147.344
146815,9/8/2014,Standard,87,176.284
146843,11/30/2014,Standard,853,150.232
146864,12/22/2014,Standard,656,216.4
146885,5/30/2014,Standard,35,13.62
146969,9/29/2014,Standard,471,968.3
146990,11/7/2014,First,617,36.1
146997,1/23/2014,Standard,45,5.94
147235,3/24/2014,Standard,131,24.9
147298,4/26/2014,Standard,44,248.568
147543,7/6/2014,Standard,851,478.48
147900,9/23/2014,Standard,196,28.8
147914,6/4/2014,Standard,230,16.224
148040,3/22/2014,Standard,892,388.704
148285,10/27/2014,Standard,528,22.32
148369,9/23/2014,Standard,430,11.12
148383,12/27/2014,Standard,491,946.764
148425,11/30/2014,Standard,625,6.642
148488,12/10/2014,Standard,155,117.704
148586,3/25/2014,Standard,962,366.786
148614,1/20/2014,Standard,233,38.66
148761,5/17/2014,Standard,2,91.68
148782,11/2/2014,Standard,870,88.776
148915,11/1/2014,Standard,956,599.896
148950,12/14/2014,Standard,105,43.016
149020,1/10/2014,Standard,404,54.83
149055,11/23/2014,Standard,53,62.808
149104,4/5/2014,Second,881,770.61
149244,11/4/2014,Standard,953,35.34
149524,1/14/2014,First,334,61.96
149538,4/4/2014,Standard,104,364.93
149594,9/15/2014,Standard,577,103.936
149643,11/16/2014,Standard,411,273.96
149958,3/15/2014,Standard,45,370.782
150203,12/5/2014,First,182,250.26
150245,12/31/2014,Second,165,1573.488
150301,7/8/2014,First,338,63.882
150329,10/10/2014,Standard,431,46.872
150490,8/5/2014,Standard,650,78.12
150518,11/19/2014,Standard,729,503.13
150581,4/8/2014,Standard,526,499.552
150798,12/1/2014,Second,927,1614.124
151001,4/5/2014,First,87,101.728
151078,11/12/2014,Same Day,665,49.632
151162,12/5/2014,Standard,768,362.466
151295,11/12/2014,Standard,985,641.024
151330,10/14/2014,First,521,1885.27
151379,12/16/2014,Standard,368,114.2
151554,11/14/2014,First,713,20.736
151708,8/8/2014,Standard,36,217.352
151792,9/2/2014,Second,592,239.976
151897,6/6/2014,Standard,817,100.24
151946,6/4/2014,Standard,239,440.048
151953,9/20/2014,Standard,746,2.816
151967,10/22/2014,Standard,1000,129.92
151995,10/13/2014,First,58,1549.77
152100,5/11/2014,Standard,370,1212.96
152233,10/5/2014,First,681,99.98
152254,6/30/2014,Same Day,750,310.688
152268,9/2/2014,Standard,532,1793.98
152296,8/1/2014,First,208,19.752
152345,12/29/2014,Second,362,57.266
152422,10/5/2014,Second,461,91.92
152443,5/21/2014,Standard,614,711.68
152562,11/1/2014,Standard,253,75.16
152618,3/14/2014,First,295,583.358
152849,7/5/2014,Standard,6,4.368
152905,2/18/2014,Standard,32,12.624
153087,12/27/2014,Standard,541,521.92
153150,7/1/2014,Second,365,19.92
153479,10/4/2014,Standard,568,110.098
153619,11/3/2014,Same Day,345,6.72
153808,4/6/2014,Second,921,436.488
153850,11/24/2014,Standard,564,1537.544
153913,12/16/2014,Second,325,1015.816
153927,8/12/2014,First,612,286.65
153969,9/21/2014,Standard,958,451.284
153976,10/3/2014,Second,207,258.279
153983,11/29/2014,Standard,206,606.32
154095,12/2/2014,Standard,583,463.04
154158,12/23/2014,Second,380,619.848
154165,2/17/2014,Standard,564,54.208
154186,12/13/2014,Second,883,2.92
154592,12/7/2014,First,554,164.88
154599,4/12/2014,Standard,149,1840.043
154627,10/29/2014,First,282,2735.952
154641,8/11/2014,Standard,44,375.34
154669,8/8/2014,Second,267,423.28
154781,11/21/2014,Standard,791,101.57
154837,8/23/2014,Second,348,49.568
154893,12/21/2014,Standard,705,1897.92
154963,6/22/2014,Standard,213,1106.77
155208,4/16/2014,Standard,296,39.072
155264,10/19/2014,Second,990,306.112
155271,5/4/2014,Same Day,108,27.46
155390,12/6/2014,Standard,973,42.208
155593,11/3/2014,Standard,481,11.64
155796,11/11/2014,Second,872,545.928
155852,3/3/2014,Second,118,19.456
155887,5/12/2014,Standard,534,700.056
156006,4/30/2014,Second,752,47.79
156160,9/22/2014,Standard,584,693.992
156244,8/12/2014,Standard,140,457.744
156314,12/24/2014,First,930,30.36
156342,6/17/2014,Second,219,62.016
156349,5/26/2014,Standard,764,576.234
156433,9/20/2014,Standard,787,31.68
156545,2/27/2014,First,363,19.456
156587,3/7/2014,First,305,309.592
156594,12/20/2014,Second,89,694.534
156601,9/19/2014,Standard,808,7.16
156790,8/8/2014,Second,765,155.456
156993,6/28/2014,Standard,595,6.08
157147,1/13/2014,Standard,16,1679.749
157546,7/20/2014,First,439,112.542
157609,3/16/2014,Second,328,471.92
157623,3/14/2014,Standard,776,13.94
157644,12/31/2014,First,72,53.67
157721,9/2/2014,First,300,90.61
157784,7/5/2014,First,814,514.03
157882,10/3/2014,Second,108,265.784
157924,10/11/2014,First,17,465.488
158029,5/26/2014,Standard,882,225.296
158064,4/21/2014,Standard,77,16.52
158225,9/22/2014,Standard,7,210.13
158274,11/19/2014,Second,439,682.91
158281,9/2/2014,Standard,371,559.71
158337,3/11/2014,Second,466,108.92
158372,11/10/2014,Standard,894,807.686
158442,3/17/2014,Same Day,419,25.184
158470,4/19/2014,Second,403,129.33
158540,11/24/2014,First,781,151.72
158771,5/9/2014,Same Day,30,158.71
159121,7/26/2014,Standard,722,111.93
159184,9/14/2014,Standard,862,149.56
159310,11/7/2014,Standard,805,725.332
159338,6/25/2014,First,455,447.84
159478,9/30/2014,Standard,974,15.24
159520,6/6/2014,Standard,738,1158.448
159625,11/23/2014,Standard,66,23.472
159681,12/7/2014,Standard,808,105.52
159709,5/10/2014,Standard,930,201.73
159800,11/28/2014,First,165,183.61
159814,6/24/2014,Standard,205,4.272
159835,11/17/2014,Standard,996,670.378
159849,9/19/2014,Same Day,498,5.67
160066,11/16/2014,Standard,676,5.22
160094,4/30/2014,First,814,1000.95
160157,12/20/2014,Standard,691,190.848
160262,6/9/2014,Second,613,134.6
160276,4/2/2014,Standard,443,177.68
160738,5/5/2014,Standard,142,45.248
