order_item_id,order_id,product_id,quantity,unit_price,total_price,order_date,order_status,created_at,updated_at
89,102008,B00HQ1UAXI,2,33.65,67.3,9/30/2014,completed,08:39.4,08:39.4
90,102085,B00146B31Y,2,47,94,10/4/2014,completed,08:39.4,08:39.4
91,102085,B0CS3CTN2V,3,,,10/4/2014,completed,08:39.4,08:39.4
92,102085,B09Q99F5CW,2,172.11,344.22,10/4/2014,completed,08:39.4,08:39.4
93,102085,B0B4JQBWHP,2,37.21,74.42,10/4/2014,completed,08:39.4,08:39.4
94,102274,B07VNBZVQ8,2,25,50,11/21/2014,completed,08:39.4,08:39.4
95,102295,B07H6G9XX5,2,,,11/24/2014,completed,08:39.4,08:39.4
96,102295,B0992HVQ52,2,280.01,560.02,11/24/2014,completed,08:39.4,08:39.4
97,102330,B078211BCT,3,87,261,12/29/2014,completed,08:39.4,08:39.4
98,102330,B01C7UO2N6,1,35.1,35.1,12/29/2014,completed,08:39.4,08:39.4
99,102330,B09MSMM2WP,2,154,308,12/29/2014,completed,08:39.4,08:39.4
100,102330,B0F6MFQ4YM,1,80.98,80.98,12/29/2014,completed,08:39.4,08:39.4
101,102330,B0B4BJK8C8,3,127.8,383.4,12/29/2014,completed,08:39.4,08:39.4
102,102645,B09G73R1K8,3,25.55,76.65,1/23/2014,completed,08:39.4,08:39.4
103,102652,B0BLXJFJX4,3,107.88,323.64,4/6/2014,completed,08:39.4,08:39.4
104,102652,B0FKM8N4HY,1,34.16,34.16,4/6/2014,completed,08:39.4,08:39.4
105,102652,B09B9XJC6D,3,68,204,4/6/2014,completed,08:39.4,08:39.4
106,102652,B00Q7CVQT4,1,82.02,82.02,4/6/2014,completed,08:39.4,08:39.4
107,102652,B0B2WXVHGG,3,113.4,340.2,4/6/2014,completed,08:39.4,08:39.4
108,102673,B076D3L7P8,3,89,267,11/1/2014,completed,08:39.4,08:39.4
109,102673,B082V1146Z,3,85.05,255.15,11/1/2014,completed,08:39.4,08:39.4
110,102673,B0BBZZCWP3,2,49.22,98.44,11/1/2014,completed,08:39.4,08:39.4
111,102673,B08YF1MSNB,3,22.9,68.7,11/1/2014,completed,08:39.4,08:39.4
112,102869,B0DFX27SF3,3,245,735,9/9/2014,completed,08:39.4,08:39.4
113,102988,B0D2KF9L7K,2,216.25,432.5,4/5/2014,completed,08:39.4,08:39.4
114,103058,B0FKM8N4HY,3,34.16,102.48,7/23/2014,completed,08:39.4,08:39.4
115,103086,B08JZTG966,2,103,206,10/17/2014,completed,08:39.4,08:39.4
116,103086,B0D8HQ16WR,1,418.5,418.5,10/17/2014,completed,08:39.4,08:39.4
117,103086,B07R7W8QHV,2,129,258,10/17/2014,completed,08:39.4,08:39.4
118,103100,B01BG45OOK,1,18.09,18.09,12/20/2014,completed,08:39.5,08:39.5
119,103100,B0CGM7MG8P,1,401.85,401.85,12/20/2014,completed,08:39.5,08:39.5
120,103191,B09B12QLSM,3,60,180,9/22/2014,completed,08:39.5,08:39.5
121,103191,B073JTVVVQ,3,145,435,9/22/2014,completed,08:39.5,08:39.5
122,103219,B0BW5BYY69,3,30.44,91.32,11/9/2014,completed,08:39.5,08:39.5
123,103219,B07RQSPLXD,2,136,272,11/9/2014,completed,08:39.5,08:39.5
124,103219,B09SCSN81B,2,18,36,11/9/2014,completed,08:39.5,08:39.5
125,103310,B0CDGG3M8T,1,49,49,5/10/2014,completed,08:39.5,08:39.5
126,103317,B09TFJ5SVC,3,93.49,280.47,7/5/2014,completed,08:39.5,08:39.5
127,103317,B0DFX24DNF,1,245,245,7/5/2014,completed,08:39.5,08:39.5
128,103317,B0B7CMR8V4,3,155,465,7/5/2014,completed,08:39.5,08:39.5
129,103331,B0F2T8H528,3,99.98,299.94,8/26/2014,completed,08:39.5,08:39.5
130,103331,B0D1QL8366,1,44.91,44.91,8/26/2014,completed,08:39.5,08:39.5
131,103331,B0DB8BY5PY,3,53.39,160.17,8/26/2014,completed,08:39.5,08:39.5
132,103331,B098N4QLK5,3,44.75,134.25,8/26/2014,completed,08:39.5,08:39.5
133,103366,B07RNKBXZ7,2,50,100,1/15/2014,completed,08:39.5,08:39.5
134,103366,B000K7EIKQ,1,269.1,269.1,1/15/2014,completed,08:39.5,08:39.5
135,103366,B0F7R3F21G,3,35.99,107.97,1/15/2014,completed,08:39.5,08:39.5
136,103373,B0B9Y8N747,1,14.2,14.2,5/18/2014,completed,08:39.5,08:39.5
137,103373,B00E54TNH8,1,319,319,5/18/2014,completed,08:39.5,08:39.5
138,103401,B0DFX24DNF,1,245,245,11/21/2014,completed,08:39.5,08:39.5
139,103401,B0BY6HVRY3,3,81,243,11/21/2014,completed,08:39.5,08:39.5
140,103401,B07PY6CQYV,3,353.94,1061.82,11/21/2014,completed,08:39.5,08:39.5
141,103401,B07M7YQL8D,3,50,150,11/21/2014,completed,08:39.5,08:39.5
142,103429,B0D9S1Q38H,3,45,135,5/30/2014,completed,08:39.5,08:39.5
143,103429,B07VXFDDS6,2,186,372,5/30/2014,completed,08:39.5,08:39.5
144,103429,B09KZ3VRXW,3,185,555,5/30/2014,completed,08:39.5,08:39.5
145,103492,B07B7TZYHP,1,42.16,42.16,10/10/2014,completed,08:39.5,08:39.5
146,103492,B0CQ59Q4XR,1,249,249,10/10/2014,completed,08:39.5,08:39.5
147,103492,B0CKYS3TMY,3,65.61,196.83,10/10/2014,completed,08:39.5,08:39.5
148,103492,B0CHF6K8YH,3,744,2232,10/10/2014,completed,08:39.5,08:39.5
149,103527,B0CPJS14LK,2,194.74,389.48,9/9/2014,completed,08:39.5,08:39.5
150,103527,B09228FVTS,3,148,444,9/9/2014,completed,08:39.5,08:39.5
151,103527,B076C3VMF2,1,118.5,118.5,9/9/2014,completed,08:39.5,08:39.5
152,103527,B07CX1G4ZG,2,29,58,9/9/2014,completed,08:39.5,08:39.5
153,103590,B08XNGTN7P,2,19,38,11/30/2014,completed,08:39.5,08:39.5
154,103590,B0CVTR6CZY,2,135.86,271.72,11/30/2014,completed,08:39.5,08:39.5
155,103660,B0CDRN1ZXZ,3,26.01,78.03,8/25/2014,completed,08:39.5,08:39.5
156,103660,B0DRH43G9W,2,56,112,8/25/2014,completed,08:39.5,08:39.5
157,103660,B0DSPJ1CSL,1,37,37,8/25/2014,completed,08:39.5,08:39.5
158,103660,B0792QMF6V,1,318.61,318.61,8/25/2014,completed,08:39.5,08:39.5
159,103702,B0BP1VV97K,3,811,2433,9/12/2014,completed,08:39.5,08:39.5
160,103702,B082HMQ14X,3,73.47,220.41,9/12/2014,completed,08:39.5,08:39.5
161,103702,B07D9JGP3R,1,189,189,9/12/2014,completed,08:39.5,08:39.5
162,103702,B0DQ96F4QX,2,194.74,389.48,9/12/2014,completed,08:39.5,08:39.5
163,103702,B09SM18HPY,1,73,73,9/12/2014,completed,08:39.5,08:39.5
164,103744,B08NGDJBKS,3,29.39,88.17,2/23/2014,completed,08:39.5,08:39.5
165,103744,B07H9H8NG7,2,210.08,420.16,2/23/2014,completed,08:39.5,08:39.5
166,103744,B0BMPX74XW,1,103.64,103.64,2/23/2014,completed,08:39.5,08:39.5
167,103800,B07V5Q2PWZ,2,229,458,1/3/2014,completed,08:39.5,08:39.5
168,103807,B07H92KTQH,2,61,122,12/2/2014,completed,08:39.5,08:39.5
169,103807,B0D2Q4R58Z,2,59.99,119.98,12/2/2014,completed,08:39.5,08:39.5
170,103807,B08P5ZNRRX,3,258.58,775.74,12/2/2014,completed,08:39.5,08:39.5
171,103807,B0BL7GTMXZ,1,48.73,48.73,12/2/2014,completed,08:39.5,08:39.5
172,103849,B0C1TN7CNP,2,383.32,766.64,5/11/2014,completed,08:39.5,08:39.5
173,103849,B0DRPSN7B1,2,249.17,498.34,5/11/2014,completed,08:39.5,08:39.5
174,103849,B07P97LMDL,1,34,34,5/11/2014,completed,08:39.5,08:39.5
175,103849,B09WPNG5P1,2,89,178,5/11/2014,completed,08:39.5,08:39.5
176,103940,B0BLHT6YMH,1,114.51,114.51,9/17/2014,completed,08:39.5,08:39.5
177,103940,B0C5Y3LVVK,2,41,82,9/17/2014,completed,08:39.5,08:39.5
178,103989,B00075U5I0,1,173.94,173.94,3/19/2014,completed,08:39.5,08:39.5
179,103989,B0FGYD1FGG,3,81.71,245.13,3/19/2014,completed,08:39.5,08:39.5
180,104178,B08DR3YHT1,1,175.29,175.29,8/25/2014,completed,08:39.5,08:39.5
181,104178,B09B118VYM,3,14.4,43.2,8/25/2014,completed,08:39.5,08:39.5
182,104178,B07DKRKCN1,1,442,442,8/25/2014,completed,08:39.5,08:39.5
183,104178,B07JGNC1C5,3,1064.48,3193.44,8/25/2014,completed,08:39.5,08:39.5
184,104178,B07FYNTXNK,2,46,92,8/25/2014,completed,08:39.5,08:39.5
185,104269,B07QYXMGPG,2,53.1,106.2,3/1/2014,completed,08:39.5,08:39.5
186,104269,B0C9TSVQ67,3,118,354,3/1/2014,completed,08:39.5,08:39.5
187,104283,B0D1CN6ZW5,2,30.76,61.52,6/27/2014,completed,08:39.5,08:39.5
188,104283,B0DMDTTHMY,3,34.45,103.35,6/27/2014,completed,08:39.5,08:39.5
189,104283,B09DGSBVJC,1,30.16,30.16,6/27/2014,completed,08:39.5,08:39.5
190,104283,B07GDP3T4D,3,108.98,326.94,6/27/2014,completed,08:39.5,08:39.5
191,104283,B084KKKHKK,3,46.75,140.25,6/27/2014,completed,08:39.5,08:39.5
192,104402,B0CC96X2YQ,3,41.8,125.4,6/17/2014,completed,08:39.5,08:39.5
193,104402,B0DHCX1DJ3,3,58.96,176.88,6/17/2014,completed,08:39.5,08:39.5
194,104402,B09R9R9KZX,3,697.95,2093.85,6/17/2014,completed,08:39.5,08:39.5
195,104402,B0C9TXYPWY,3,21.8,65.4,6/17/2014,completed,08:39.5,08:39.5
196,104402,B09V7SSCBN,1,142,142,6/17/2014,completed,08:39.5,08:39.5
197,104472,B0DK3T5KKC,1,44.99,44.99,6/2/2014,completed,08:39.5,08:39.5
198,104472,B0CTKRSYZP,2,131.03,262.06,6/2/2014,completed,08:39.5,08:39.5
199,104472,B0BP1L542K,3,31.23,93.69,6/2/2014,completed,08:39.5,08:39.5
200,104472,B0D1YQ4581,1,162,162,6/2/2014,completed,08:39.5,08:39.5
201,104472,B09FLVPSNV,1,12.4,12.4,6/2/2014,completed,08:39.5,08:39.5
202,104563,B07ZZDLKFJ,3,305.85,917.55,3/7/2014,completed,08:39.5,08:39.5
203,104563,B01N39ONJM,3,148.51,445.53,3/7/2014,completed,08:39.5,08:39.5
204,104563,B0B3NDSZNK,2,85.05,170.1,3/7/2014,completed,08:39.5,08:39.5
205,104563,B07GSS4DTZ,3,65.72,197.16,3/7/2014,completed,08:39.5,08:39.5
206,104738,B09PGMGV2V,1,142.98,142.98,12/30/2014,completed,08:39.5,08:39.5
207,104738,B0BCYZHDGP,1,229,229,12/30/2014,completed,08:39.5,08:39.5
208,104773,B0BC65JLXZ,3,47.95,143.85,12/8/2014,completed,08:39.5,08:39.5
209,104773,B09TL9PB2J,3,15.58,46.74,12/8/2014,completed,08:39.5,08:39.5
210,104773,B083YF4VDP,2,329,658,12/8/2014,completed,08:39.5,08:39.5
211,104773,B0DCSWWZ57,2,276.43,552.86,12/8/2014,completed,08:39.5,08:39.5
212,104773,B08TCGZG6X,2,46.34,92.68,12/8/2014,completed,08:39.5,08:39.5
213,104780,B09WKCZTL3,1,33.99,33.99,5/21/2014,completed,08:39.5,08:39.5
214,104780,B0874V8THD,1,162,162,5/21/2014,completed,08:39.5,08:39.5
215,104780,B09Y63891J,1,100.5,100.5,5/21/2014,completed,08:39.5,08:39.5
216,104780,B0BY5RMHGX,3,,,5/21/2014,completed,08:39.5,08:39.5
217,104808,B0C23RKMP6,2,55.4,110.8,2/4/2014,completed,08:39.5,08:39.5
218,104808,B0CQ859MQM,2,339,678,2/4/2014,completed,08:39.5,08:39.5
219,104808,B07Z87BZQH,2,20.09,40.18,2/4/2014,completed,08:39.5,08:39.5
220,104808,B08GM16WXF,3,687.74,2063.22,2/4/2014,completed,08:39.5,08:39.5
221,104808,B0DJF9XMR6,3,74,222,2/4/2014,completed,08:39.5,08:39.5
222,104829,B07SQYBRTG,3,186,558,11/18/2014,completed,08:39.5,08:39.5
223,104829,B0CFY2TMGJ,3,42,126,11/18/2014,completed,08:39.5,08:39.5
224,104976,B07XQJHDX4,1,142.25,142.25,12/9/2014,completed,08:39.5,08:39.5
225,104976,B0DK5TYNHN,3,691.95,2075.85,12/9/2014,completed,08:39.5,08:39.5
226,104976,B0BSXXRVW1,1,165.25,165.25,12/9/2014,completed,08:39.5,08:39.5
227,104976,B08JM33QNK,2,164.11,328.22,12/9/2014,completed,08:39.5,08:39.5
228,105165,B0CDXGRMJM,3,121.05,363.15,9/7/2014,completed,08:39.5,08:39.5
229,105165,B07Y2BP7F2,3,449,1347,9/7/2014,completed,08:39.5,08:39.5
230,105165,B0CCDFKKWK,1,84.5,84.5,9/7/2014,completed,08:39.5,08:39.5
231,105165,B082H1YC1Y,1,185,185,9/7/2014,completed,08:39.5,08:39.5
232,105165,B00LJKK13Q,2,294.06,588.12,9/7/2014,completed,08:39.5,08:39.5
233,105172,B00KU9BY92,1,200.5,200.5,4/4/2014,completed,08:39.5,08:39.5
234,105172,B00R2EWM12,1,275.9,275.9,4/4/2014,completed,08:39.5,08:39.5
235,105172,B08TQV254S,2,37.99,75.98,4/4/2014,completed,08:39.5,08:39.5
236,105172,B0DNMHYGFY,3,124.99,374.97,4/4/2014,completed,08:39.5,08:39.5
237,105172,B09WNHP8DD,2,92.07,184.14,4/4/2014,completed,08:39.5,08:39.5
238,105249,B07XL31LJT,3,110.75,332.25,11/28/2014,completed,08:39.5,08:39.5
239,105270,B0BFB16L8Y,2,70.89,141.78,11/11/2014,completed,08:39.5,08:39.5
240,105270,B0D9QZ4CBX,1,359,359,11/11/2014,completed,08:39.5,08:39.5
241,105270,B0C61TGH4V,2,108,216,11/11/2014,completed,08:39.5,08:39.5
242,105270,B01J1GQ1HY,3,40.99,122.97,11/11/2014,completed,08:39.5,08:39.5
243,105270,B074P7NM8M,2,270.12,540.24,11/11/2014,completed,08:39.5,08:39.5
244,105340,B0929FC1Z8,1,57.46,57.46,11/22/2014,completed,08:39.5,08:39.5
245,105340,B0F82S1DNL,2,559.2,1118.4,11/22/2014,completed,08:39.5,08:39.5
246,105417,B07Y9SLR1L,1,27.73,27.73,1/7/2014,completed,08:39.5,08:39.5
247,105417,B0CFFQQSYV,1,38.79,38.79,1/7/2014,completed,08:39.5,08:39.5
248,105417,B079QQ34RL,1,311.24,311.24,1/7/2014,completed,08:39.5,08:39.5
249,105417,B075FWQ9GZ,3,2050,6150,1/7/2014,completed,08:39.5,08:39.5
250,105417,B0BHX582KJ,3,43,129,1/7/2014,completed,08:39.5,08:39.5
251,105648,B09KCHV5QR,1,20.17,20.17,3/3/2014,completed,08:39.5,08:39.5
252,105872,B086DP8FPL,3,61.17,183.51,5/30/2014,completed,08:39.5,08:39.5
253,105893,B0DJKSX1J3,1,36,36,11/11/2014,completed,08:39.5,08:39.5
254,105893,B0BVGCGTFM,1,78,78,11/11/2014,completed,08:39.5,08:39.5
255,105893,B07QN8TT6H,3,45,135,11/11/2014,completed,08:39.5,08:39.5
256,105893,B0BJVWLW35,3,91.35,274.05,11/11/2014,completed,08:39.5,08:39.5
257,105893,B09VMG84XN,2,110.21,220.42,11/11/2014,completed,08:39.5,08:39.5
258,105984,B08J67Z1BK,3,95.69,287.07,11/24/2014,completed,08:39.5,08:39.5
259,105984,B095KL6XNQ,3,30,90,11/24/2014,completed,08:39.5,08:39.5
260,106054,B0CDPPBWTZ,2,573,1146,1/6/2014,completed,08:39.5,08:39.5
261,106054,B078H53CS3,1,19.99,19.99,1/6/2014,completed,08:39.5,08:39.5
262,106054,B09DGQRS6V,2,17.05,34.1,1/6/2014,completed,08:39.5,08:39.5
263,106054,B00IO1YBHK,1,,,1/6/2014,completed,08:39.5,08:39.5
264,106054,B0167P24AK,1,73,73,1/6/2014,completed,08:39.5,08:39.5
265,106229,B0DNMHYGFY,3,124.99,374.97,6/7/2014,completed,08:39.5,08:39.5
266,106229,B07P8S9X1Q,3,53,159,6/7/2014,completed,08:39.5,08:39.5
267,106229,B0CWVGNL6T,1,28,28,6/7/2014,completed,08:39.5,08:39.5
268,106229,B094PWS5MM,1,63.75,63.75,6/7/2014,completed,08:39.5,08:39.5
269,106264,B0DDQJ4C65,2,59,118,12/26/2014,completed,08:39.5,08:39.5
270,106264,B0BZWMPZR6,2,59,118,12/26/2014,completed,08:39.5,08:39.5
271,106264,B0928NWLWS,1,123.11,123.11,12/26/2014,completed,08:39.5,08:39.5
272,106264,B005MVAYJO,2,65,130,12/26/2014,completed,08:39.5,08:39.5
273,106264,B09GFNNXT9,3,22.77,68.31,12/26/2014,completed,08:39.5,08:39.5
274,106376,B094SGZ33N,2,100.28,200.56,12/5/2014,completed,08:39.5,08:39.5
275,106376,B0F62WZK1W,2,118,236,12/5/2014,completed,08:39.5,08:39.5
276,106439,B0DJKS84NY,2,28.8,57.6,10/31/2014,completed,08:39.5,08:39.5
277,106572,B07MGPMQ6N,2,267.74,535.48,9/5/2014,completed,08:39.5,08:39.5
278,106572,B0BB3JNJ4R,1,245,245,9/5/2014,completed,08:39.5,08:39.5
279,106719,B0014JKJJI,3,163,489,8/24/2014,completed,08:39.5,08:39.5
280,106719,B0D67BRYR2,3,281.95,845.85,8/24/2014,completed,08:39.5,08:39.5
281,106719,B07F1LK7KC,2,39.99,79.98,8/24/2014,completed,08:39.5,08:39.5
282,106719,B07CV5P4SP,3,309,927,8/24/2014,completed,08:39.5,08:39.5
283,106726,B07TTNF3ZN,1,37.83,37.83,12/6/2014,completed,08:39.5,08:39.5
284,106803,B092R42ZGN,2,241.95,483.9,12/29/2014,completed,08:39.5,08:39.5
285,106803,B0D9TGGCDD,1,484.17,484.17,12/29/2014,completed,08:39.5,08:39.5
286,106810,B07S65ZYPY,3,56,168,5/14/2014,completed,08:39.5,08:39.5
287,106810,B0B529YGBN,2,14.66,29.32,5/14/2014,completed,08:39.5,08:39.5
288,106971,B0F115SV7N,2,219.23,438.46,9/2/2014,completed,08:39.5,08:39.5
289,106971,B07ZRNN8PK,1,23,23,9/2/2014,completed,08:39.5,08:39.5
290,106971,B01CUI7ES0,2,86.85,173.7,9/2/2014,completed,08:39.5,08:39.5
291,106971,B0CKXT54DG,1,119,119,9/2/2014,completed,08:39.5,08:39.5
292,106971,B0C3WR5HDL,1,670.57,670.57,9/2/2014,completed,08:39.5,08:39.5
293,107139,B074CLTT8J,3,53,159,7/5/2014,completed,08:39.5,08:39.5
294,107139,B087S4MVLQ,3,199,597,7/5/2014,completed,08:39.5,08:39.5
295,107139,B09NW7QHJL,2,98,196,7/5/2014,completed,08:39.5,08:39.5
296,107139,B07FYGC9BS,3,147.41,442.23,7/5/2014,completed,08:39.5,08:39.5
297,107139,B07L41PKC2,1,29,29,7/5/2014,completed,08:39.5,08:39.5
298,107153,B0D2DLDQ8P,3,69.99,209.97,9/28/2014,completed,08:39.5,08:39.5
299,107181,B0C99LRJBB,3,342,1026,2/4/2014,completed,08:39.5,08:39.5
300,107181,B00CEX7TC8,2,205,410,2/4/2014,completed,08:39.5,08:39.5
301,107181,B06Y425XTN,3,418.41,1255.23,2/4/2014,completed,08:39.5,08:39.5
302,107181,B07TVS6TY1,3,436,1308,2/4/2014,completed,08:39.5,08:39.5
303,107398,B00CI35H1E,2,57,114,8/25/2014,completed,08:39.5,08:39.5
304,107398,B0CQ8BPWPN,3,85.74,257.22,8/25/2014,completed,08:39.5,08:39.5
305,107398,B0DLBHDNP2,1,212,212,8/25/2014,completed,08:39.5,08:39.5
