order_item_id,order_id,product_id,quantity,unit_price,total_price,order_date,order_status,created_at,updated_at,ingestion_timestamp,source_system
41,100972,B0DS6P76VL,1,1365.0,1365.0,11/19/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
42,100972,B0C53VVVRZ,2,179.0,358.0,11/19/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
43,100972,B0CPPGG3TM,2,45.08,90.16,11/19/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
44,101147,B08BZQ5N7V,3,399.0,1197.0,12/2/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
45,101147,B0007T5JFU,1,114.37,114.37,12/2/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
46,101175,B0793G9MDM,2,96.41,192.82,12/9/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
47,101175,B012NW0J30,3,60.0,180.0,12/9/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
48,101175,B08LNQ5GT3,1,59.12,59.12,12/9/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
49,101266,B0BFPHHJRL,1,20.11,20.11,8/27/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
50,101266,B01MUHB2Z1,3,120.0,360.0,8/27/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
51,101266,B0823GNMYY,2,19.0,38.0,8/27/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
52,101266,B0088IBGFE,1,137.0,137.0,8/27/2014,canceled,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
53,101266,B098YPZPXV,3,90.0,270.0,8/27/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
54,101364,B09XN61S41,1,66.0,66.0,12/22/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
55,101364,B01N39ONJM,2,148.51,297.02,12/22/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
56,101364,B09QMVSLDP,3,151.83,455.49,12/22/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
57,101364,B0C3MV2GZ4,2,173.06,346.12,12/22/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
58,101364,B0CFDR5DT2,1,149.0,149.0,12/22/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
59,101392,B09F3PL676,1,22.98,22.98,12/7/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
60,101427,B091W4DVQV,1,98.25,98.25,12/26/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
61,101462,B0CQPH9GDC,2,90.0,180.0,4/20/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
62,101462,B0D9QYY43Y,2,325.0,650.0,4/20/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
63,101462,B0849F7YJ7,1,79.77,79.77,4/20/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
64,101462,B01GH5GM5S,3,178.98,536.94,4/20/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
65,101462,B0F2GBL5Q1,1,299.0,299.0,4/20/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
66,101476,B09GPMSGP2,3,17.59,52.77,9/12/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
67,101476,B07XQJHDX4,2,142.25,284.5,9/12/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
68,101476,B0B7W5CY4H,1,373.53,373.53,9/12/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
69,101560,B0BTJ7LV98,1,18.0,18.0,11/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
70,101560,B0FGXPYM2L,2,48.99,97.98,11/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
71,101560,B0C7R3JB1R,1,58.0,58.0,11/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
72,101560,B0F1D9YC7F,2,235.95,471.9,11/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
73,101602,B08DD8NMF8,2,35.0,70.0,12/15/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
74,101602,B08T1G3KZC,2,94.0,188.0,12/15/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
75,101602,B011V51LSW,3,40.16,120.48,12/15/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
76,101770,B0DT9P7BZ2,2,19.28,38.56,3/31/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
77,101770,B09G6ZNLHX,3,19.01,57.03,3/31/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
78,101770,B0CTQQPKDR,3,41.0,123.0,3/31/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
79,101770,B09TLBB18H,3,15.58,46.74,3/31/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
80,101770,B076D3L7P8,1,89.0,89.0,3/31/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
81,101833,B08F4ZQ57T,1,18.16,18.16,11/17/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
82,101833,B0CQM6NBFJ,3,202.3,606.9,11/17/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
83,101833,B06XKXTDLS,3,52.0,156.0,11/17/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
84,101833,B08GGVYY8V,2,22.94,45.88,11/17/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
85,101833,B0DG8JFHZ2,3,52.14,156.42,11/17/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
86,101931,B0C2PG3C8D,2,43.55,87.1,10/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
87,101931,B09N1L65GY,2,35.17,70.34,10/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
88,101931,B0C1RRTHY7,1,116.0,116.0,10/28/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
89,102008,B00HQ1UAXI,2,33.65,67.3,9/30/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
90,102085,B00146B31Y,2,47.0,94.0,10/4/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
91,102085,B0CS3CTN2V,3,,,10/4/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
92,102085,B09Q99F5CW,2,172.11,344.22,10/4/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
93,102085,B0B4JQBWHP,2,37.21,74.42,10/4/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
94,102274,B07VNBZVQ8,2,25.0,50.0,11/21/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
95,102295,B07H6G9XX5,2,,,11/24/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
96,102295,B0992HVQ52,2,280.01,560.02,11/24/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
97,102330,B078211BCT,3,87.0,261.0,12/29/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
98,102330,B01C7UO2N6,1,35.1,35.1,12/29/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
99,102330,B09MSMM2WP,2,154.0,308.0,12/29/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
100,102330,B0F6MFQ4YM,1,80.98,80.98,12/29/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
101,102330,B0B4BJK8C8,3,127.8,383.4,12/29/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
102,102645,B09G73R1K8,3,25.55,76.65,1/23/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
103,102652,B0BLXJFJX4,3,107.88,323.64,4/6/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
104,102652,B0FKM8N4HY,1,34.16,34.16,4/6/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
105,102652,B09B9XJC6D,3,68.0,204.0,4/6/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
106,102652,B00Q7CVQT4,1,82.02,82.02,4/6/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
107,102652,B0B2WXVHGG,3,113.4,340.2,4/6/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
108,102673,B076D3L7P8,3,89.0,267.0,11/1/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
109,102673,B082V1146Z,3,85.05,255.15,11/1/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
110,102673,B0BBZZCWP3,2,49.22,98.44,11/1/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
111,102673,B08YF1MSNB,3,22.9,68.7,11/1/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
112,102869,B0DFX27SF3,3,245.0,735.0,9/9/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
113,102988,B0D2KF9L7K,2,216.25,432.5,4/5/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
114,103058,B0FKM8N4HY,3,34.16,102.48,7/23/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
115,103086,B08JZTG966,2,103.0,206.0,10/17/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
116,103086,B0D8HQ16WR,1,418.5,418.5,10/17/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
117,103086,B07R7W8QHV,2,129.0,258.0,10/17/2014,completed,08:39.4,08:39.4,2026-02-04 11:05:17.447592,order_items_csv
118,103100,B01BG45OOK,1,18.09,18.09,12/20/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
119,103100,B0CGM7MG8P,1,401.85,401.85,12/20/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
120,103191,B09B12QLSM,3,60.0,180.0,9/22/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
121,103191,B073JTVVVQ,3,145.0,435.0,9/22/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
122,103219,B0BW5BYY69,3,30.44,91.32,11/9/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
123,103219,B07RQSPLXD,2,136.0,272.0,11/9/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
124,103219,B09SCSN81B,2,18.0,36.0,11/9/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
125,103310,B0CDGG3M8T,1,49.0,49.0,5/10/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
126,103317,B09TFJ5SVC,3,93.49,280.47,7/5/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
127,103317,B0DFX24DNF,1,245.0,245.0,7/5/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
128,103317,B0B7CMR8V4,3,155.0,465.0,7/5/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
129,103331,B0F2T8H528,3,99.98,299.94,8/26/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
130,103331,B0D1QL8366,1,44.91,44.91,8/26/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
131,103331,B0DB8BY5PY,3,53.39,160.17,8/26/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
132,103331,B098N4QLK5,3,44.75,134.25,8/26/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
133,103366,B07RNKBXZ7,2,50.0,100.0,1/15/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
134,103366,B000K7EIKQ,1,269.1,269.1,1/15/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
135,103366,B0F7R3F21G,3,35.99,107.97,1/15/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
136,103373,B0B9Y8N747,1,14.2,14.2,5/18/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
137,103373,B00E54TNH8,1,319.0,319.0,5/18/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
138,103401,B0DFX24DNF,1,245.0,245.0,11/21/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
139,103401,B0BY6HVRY3,3,81.0,243.0,11/21/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
140,103401,B07PY6CQYV,3,353.94,1061.82,11/21/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
141,103401,B07M7YQL8D,3,50.0,150.0,11/21/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
142,103429,B0D9S1Q38H,3,45.0,135.0,5/30/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
143,103429,B07VXFDDS6,2,186.0,372.0,5/30/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
144,103429,B09KZ3VRXW,3,185.0,555.0,5/30/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
145,103492,B07B7TZYHP,1,42.16,42.16,10/10/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
146,103492,B0CQ59Q4XR,1,249.0,249.0,10/10/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
147,103492,B0CKYS3TMY,3,65.61,196.83,10/10/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
148,103492,B0CHF6K8YH,3,744.0,2232.0,10/10/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
149,103527,B0CPJS14LK,2,194.74,389.48,9/9/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
150,103527,B09228FVTS,3,148.0,444.0,9/9/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
151,103527,B076C3VMF2,1,118.5,118.5,9/9/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
152,103527,B07CX1G4ZG,2,29.0,58.0,9/9/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
153,103590,B08XNGTN7P,2,19.0,38.0,11/30/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
154,103590,B0CVTR6CZY,2,135.86,271.72,11/30/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
155,103660,B0CDRN1ZXZ,3,26.01,78.03,8/25/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
156,103660,B0DRH43G9W,2,56.0,112.0,8/25/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
157,103660,B0DSPJ1CSL,1,37.0,37.0,8/25/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
158,103660,B0792QMF6V,1,318.61,318.61,8/25/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
159,103702,B0BP1VV97K,3,811.0,2433.0,9/12/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
160,103702,B082HMQ14X,3,73.47,220.41,9/12/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
161,103702,B07D9JGP3R,1,189.0,189.0,9/12/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
162,103702,B0DQ96F4QX,2,194.74,389.48,9/12/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
163,103702,B09SM18HPY,1,73.0,73.0,9/12/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
164,103744,B08NGDJBKS,3,29.39,88.17,2/23/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
165,103744,B07H9H8NG7,2,210.08,420.16,2/23/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
166,103744,B0BMPX74XW,1,103.64,103.64,2/23/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
167,103800,B07V5Q2PWZ,2,229.0,458.0,1/3/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
168,103807,B07H92KTQH,2,61.0,122.0,12/2/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
169,103807,B0D2Q4R58Z,2,59.99,119.98,12/2/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
170,103807,B08P5ZNRRX,3,258.58,775.74,12/2/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
171,103807,B0BL7GTMXZ,1,48.73,48.73,12/2/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
172,103849,B0C1TN7CNP,2,383.32,766.64,5/11/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
173,103849,B0DRPSN7B1,2,249.17,498.34,5/11/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
174,103849,B07P97LMDL,1,34.0,34.0,5/11/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
175,103849,B09WPNG5P1,2,89.0,178.0,5/11/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
176,103940,B0BLHT6YMH,1,114.51,114.51,9/17/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
177,103940,B0C5Y3LVVK,2,41.0,82.0,9/17/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
178,103989,B00075U5I0,1,173.94,173.94,3/19/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
179,103989,B0FGYD1FGG,3,81.71,245.13,3/19/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
180,104178,B08DR3YHT1,1,175.29,175.29,8/25/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
181,104178,B09B118VYM,3,14.4,43.2,8/25/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
182,104178,B07DKRKCN1,1,442.0,442.0,8/25/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
183,104178,B07JGNC1C5,3,1064.48,3193.44,8/25/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
184,104178,B07FYNTXNK,2,46.0,92.0,8/25/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
185,104269,B07QYXMGPG,2,53.1,106.2,3/1/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
186,104269,B0C9TSVQ67,3,118.0,354.0,3/1/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
187,104283,B0D1CN6ZW5,2,30.76,61.52,6/27/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
188,104283,B0DMDTTHMY,3,34.45,103.35,6/27/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
189,104283,B09DGSBVJC,1,30.16,30.16,6/27/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
190,104283,B07GDP3T4D,3,108.98,326.94,6/27/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
191,104283,B084KKKHKK,3,46.75,140.25,6/27/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
192,104402,B0CC96X2YQ,3,41.8,125.4,6/17/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
193,104402,B0DHCX1DJ3,3,58.96,176.88,6/17/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
194,104402,B09R9R9KZX,3,697.95,2093.85,6/17/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
195,104402,B0C9TXYPWY,3,21.8,65.4,6/17/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
196,104402,B09V7SSCBN,1,142.0,142.0,6/17/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
197,104472,B0DK3T5KKC,1,44.99,44.99,6/2/2014,completed,08:39.5,08:39.5,2026-02-04 11:05:17.447592,order_items_csv
